"","Bac_OTU","Domain","Phylum","Class","Order","Family","Bac_Family_Mean"
"24","OTU2669","Bacteria","Cyanobacteriota","Cyanophyceae","Oculatellales","Oculatellaceae",0.00132892131456896
"72","OTU717","Bacteria","Bacillota","Clostridia","Eubacteriales","Eubacteriaceae",0.00110743442880747
"56","OTU4727","Bacteria","Actinomycetota","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae",0.000949229510406403
"5","OTU130","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",0.000822665575685549
"57","OTU4813","Bacteria","Bacteroidota","Bacteroidia","uncl_Bacteroidia","uncl_Bacteroidia",0.000664460657284482
"79","OTU87","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae",0.000569537706243842
"53","OTU465","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Cellulomonadaceae",0.000537896722563628
"49","OTU4446","Bacteria","Acidobacteriota","Acidobacteria_Gp3","uncl_Acidobacteria_Gp3","uncl_Acidobacteria_Gp3",0.000506255738883415
"34","OTU3138","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","uncl_Micrococcales",0.000442973771522988
"29","OTU3010","Bacteria","Actinomycetota","Actinobacteria","Streptomycetales","Streptomycetaceae",0.000379691804162561
"48","OTU432","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodobacterales","Paracoccaceae",0.000348050820482348
"20","OTU2502","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Promicromonosporaceae",0.000316409836802134
"64","OTU593","Bacteria","Bacillota","Bacilli","Lactobacillales","Leuconostocaceae",0.000316409836802134
"68","OTU643","Bacteria","Actinomycetota","Actinobacteria","Mycobacteriales","Mycobacteriaceae",0.000316409836802134
"50","OTU445","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Micrococcaceae",0.000284768853121921
"51","OTU4509","Bacteria","Acidobacteriota","Acidobacteria_Gp2","uncl_Acidobacteria_Gp2","uncl_Acidobacteria_Gp2",0.000284768853121921
"58","OTU515","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Burkholderiaceae",0.000284768853121921
"39","OTU3453","Bacteria","Actinomycetota","Actinobacteria","Micromonosporales","Micromonosporaceae",0.000221486885761494
"37","OTU3274","Bacteria","Actinomycetota","Actinobacteria","Streptosporangiales","Nocardiopsaceae",0.000189845902081281
"43","OTU3728","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Devosiaceae",0.000158204918401067
"52","OTU4613","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Propionibacteriaceae",0.000126563934720854
"70","OTU672","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae",0.000126563934720854
"30","OTU303","Bacteria","Pseudomonadota","Betaproteobacteria","Burkholderiales","Comamonadaceae",9.49229510406403e-05
"42","OTU3565","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","uncl_Hyphomicrobiales",9.49229510406403e-05
"76","OTU800","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Brucellaceae",9.49229510406403e-05
"14","OTU2194","Bacteria","Pseudomonadota","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae",6.32819673604269e-05
"22","OTU256","Bacteria","Bacillota","Bacilli","Caryophanales","Listeriaceae",6.32819673604269e-05
"21","OTU2507","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae",3.16409836802134e-05
"32","OTU310","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Dermabacteraceae",3.16409836802134e-05
"45","OTU3916","Bacteria","Bacillota","Bacilli","Lactobacillales","uncl_Lactobacillales",3.16409836802134e-05
"59","OTU530","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Phyllobacteriaceae",3.16409836802134e-05
